review,Reviewer_Score,sentiment,review_length,clean_review
 Lovey place second visit   Toilets made a loud noise when flushing shower was a bit week,9.6,1,89,lovey place second visit toilet made loud nois flush shower bit week
 Good breakfast but not great value   Bad smell in bedroom overpowering lemon scent in bathroom Bathroom generally tatty Long queue for check in Constant up selling of extras very annoying ,6.7,0,189,good breakfast great valu bad smell bedroom overpow lemon scent bathroom bathroom gener tatti long queue check constant sell extra annoy
 Location  Noise children,8.8,1,25,locat nois children
 The bar staff were exceptionally helpful and the facilities were great Very clean and comfortable  No Negative,10.0,1,111,bar staff except help facil great clean comfort neg
 Close to metro Big bed Nice shower Clean Washing machine  Bed was hard hurts the back Gym only had three cardio equipments,7.1,1,123,close metro big bed nice shower clean wash machin bed hard hurt back gym three cardio equip
 The rooms were clean and the beds were comfy It was a little on the expensive side because it was summer But great overall  No Negative,10.0,1,136,room clean bed comfi littl expens side summer great overal neg
 Cleanliness of the hotel many restaurant nearby Fantastic view toward canals   A bit noisy at night especially from the passing boats that set music out loud Quite far to nearest attractions such as Van Gogh museum Rijk Museum Heineken Museum etc ,8.8,1,248,cleanli hotel mani restaur nearbi fantast view toward canal bit noisi night especi pass boat set music loud quit far nearest attract van gogh museum rijk museum heineken museum etc
 The interior design The very friendly and helpful staff The peaceful location The rooftop view of Paris from our room The beautiful lounge area with books to browse with a drink from the bar served with a welcoming smile and kind words  There is nothing we dislike about this hotel After several visits over the years we still love staying here ,10.0,1,346,interior design friendli help staff peac locat rooftop view pari room beauti loung area book brows drink bar serv welcom smile kind word noth dislik hotel sever visit year still love stay
 The location is great and the staff were friendly We had a pleasant stay in the Western Plus Hammersmith Hotel I really recommend it  No Negative,9.2,1,146,locat great staff friendli pleasant stay western plu hammersmith hotel realli recommend neg
 polite staff  Wifi tempermental,8.3,1,32,polit staff wifi temperment
 This hotel is ideal located right in dam square YOU are only 10 mins from the train station and all the big shops are right on your doorstep canal trips are also very close bye I will definitely been staying here again when I go back  No Negative,9.2,1,247,hotel ideal locat right dam squar min train station big shop right doorstep canal trip also close bye definit stay go back neg
 Very confortable Huge rooms and bathroom Big fridge in the room Very nice bathtube Two pillows for each bed Great Internet Very nice and helpful staff   The got wrong my order in the room service ,9.6,1,197,confort huge room bathroom big fridg room nice bathtub two pillow bed great internet nice help staff got wrong order room servic
 Great value for money Good food and service Really handy having its own secure parking  No Negative,10.0,1,100,great valu money good food servic realli handi secur park neg
 Good value 2 minute walk to train and subway station  No Negative,8.3,1,66,good valu minut walk train subway station neg
 Really great staff Great breakfast No Negative,9.2,1,47,realli great staff great breakfast neg
 the staff No Negative,9.2,1,22,staff neg
 Good location close to Louvre and Notre Dame No Negative,7.1,1,57,good locat close louvr notr dame neg
 very easy no hassle check in and exit  the noise from St pauls chiming clock might unsettle some in rooms at the front of the property,9.6,1,135,easi hassl check exit nois st paul chime clock might unsettl room front properti
 Location was great  As we were on the ramblas it was quite noisy at night,7.1,1,74,locat great rambla quit noisi night
 Service  Initially room was too small and when I demanded a better room I was charged extra 35 per day which I thing was too much,6.7,0,130,servic initi room small demand better room charg extra per day thing much
 lovely decor great spa facilities we got a free upgrade to a suite with living area and kitchenette having the kitchenette was great Fabulous that price including breakfast included having it delivered to room nice luxurious touch  No Negative,10.0,1,244,love decor great spa facil got free upgrad suit live area kitchenett kitchenett great fabul price includ breakfast includ deliv room nice luxuri touch neg
 Really nice location located in the center   We were charged too much when checking in and it took us a while before we received the refund back We never received a proper bill to explain what went wrong in the first place even after several times asking for a state of payment ,6.7,0,279,realli nice locat locat center charg much check took us receiv refund back never receiv proper bill explain went wrong first place even sever time ask state payment
 The way the staff remember who you are and the excellent service in the restaurant from Alex he s a very well spoken courteous gentleman a true asset to the Dorsett  No Negative,10.0,1,178,way staff rememb excel servic restaur alex well spoken courteou gentleman true asset dorsett neg
 The breakfast was delicious especially omelettes done by the cook on demand freshly squeezed orange juice The room was specious and comfortable   TV in a room had hard time working but this is not very important so doesn t really matter that much The bathroom could be a bit bigger more space to put cosmetics ,9.2,1,311,breakfast delici especi omelett done cook demand freshli squeez orang juic room speciou comfort tv room hard time work import realli matter much bathroom could bit bigger space put cosmet
 Excellent location for our early start from the adjoining railway station No Negative,8.8,1,86,excel locat earli start adjoin railway station neg
No Positive  The room was very noisy At the midnight I can hear people talking loudly at each other in another room My room was facing the stairs so there were noise around my door all the time I could not sleep the whole night The waiter I think he is from south Asia in the breakfast was so rude He was going to add some food in the plate but I did not notice that He just waived his hands to let me go away I could not believe how this hotel can be 4 star ,4.6,0,459,posit room noisi midnight hear peopl talk loudli anoth room room face stair nois around door time could sleep whole night waiter think south asia breakfast rude go add food plate notic waiv hand let go away could believ hotel star
 Very clean staff helpful  More choice cereals breakfast,9.2,1,56,clean staff help choic cereal breakfast
No Positive  Housekeeping came in late to our room The first day we told them it was ok and there was nothing to clean yet so we took towels and papers And then it looks like they took advantage of it that we were easy going about it Long story short we took towels from the housekeeper till the last night than we asked them to tend for our room So out of the 4 nights we stayed we had our room clean once out the time we checked in ,7.9,1,434,posit housekeep came late room first day told ok noth clean yet took towel paper look like took advantag easi go long stori short took towel housekeep till last night ask tend room night stay room clean time check
 Personel staff was helpful   Rooms and beds they put two beds together I bought double bed they were renovating some rooms Hence we couldn t get good sleep ,5.8,0,157,personel staff help room bed put two bed togeth bought doubl bed renov room henc get good sleep
No Positive  The staff at reception The house keeper services,5.4,0,61,posit staff recept hous keeper servic
 what a good choice for breakfast No Negative,8.3,1,45,good choic breakfast neg
 It was nice place for stay in Amterdam  No Negative,10.0,1,52,nice place stay amterdam neg
 Quiet for London comfortable very clean and fresh Great bed and shower Friendly staff nothing too much trouble Ideal location close to Kings Cross   Put the coffee and tea making in a more open space not the cupboard ,9.6,1,218,quiet london comfort clean fresh great bed shower friendli staff noth much troubl ideal locat close king cross put coffe tea make open space cupboard
 The room was one of the best ever stopped in  No Negative,9.6,1,58,room one best ever stop neg
 The location and the bar area  The bathroom felt like a hospital,7.1,1,65,locat bar area bathroom felt like hospit
 Bed was good but it was two singles out together  Bed not fixed together it was two beds pushed together,7.9,1,105,bed good two singl togeth bed fix togeth two bed push togeth
 Location Japanese toilet system lobby  I didn t get the room I booked till end of the day Always request to see the room before checking in as the reciptibist will always tell I checked you in a lovely room The first room they tried to stick me in had a no door no walls cabinet it was badly designed I couldn t open the drawers they hit the bed table,8.8,1,352,locat japanes toilet system lobbi get room book till end day alway request see room check reciptibist alway tell check love room first room tri stick door wall cabinet badli design open drawer hit bed tabl
 Very close to underground  Very small room very small bed very small bathroom,6.3,0,78,close underground small room small bed small bathroom
 The location of the hotel is certainly its selling point It s literally just a stone throw s distance from the Eiffel Tower The breakfast was good had a lot of variety The rooms were good nothing extraordinary   The staff looked that they were too overwhelmed We had to wait in line for 30 minutes to check in And mainly it is way too overpriced ,7.1,1,347,locat hotel certainli sell point liter stone throw distanc eiffel tower breakfast good lot varieti room good noth extraordinari staff look overwhelm wait line minut check mainli way overpr
 Free upgrade to an amazing room Most comfy bed i ve ever slept in at ANY hotel Lovely breakfast Awesome location very near to Paradiso concert venue  No Negative,10.0,1,162,free upgrad amaz room comfi bed ever slept hotel love breakfast awesom locat near paradiso concert venu neg
 Very clean not to far from tram station Area was a bit disappointing thought it was closer to city center  Beds hard staff not always polite,8.3,1,141,clean far tram station area bit disappoint thought closer citi center bed hard staff alway polit
 Staff were amazingly friendly and helpful  Lighting in the bathroom for make up ,10.0,1,81,staff amazingli friendli help light bathroom make
 bed  n a,8.8,1,9,bed n
 For the money couldn t be faulted   Sunday breakfast was a little busy but hardly the end of the world ,9.2,1,104,money fault sunday breakfast littl busi hardli end world
 food was lovely good location for tube restaurants ect staff were absolutely amazing cannot fault them went out of their way to help stunning reception area and everything was very clean   I found the bed and pillows a bit hard for my liking but everyone s preferences are different ,9.6,1,284,food love good locat tube restaur ect staff absolut amaz cannot fault went way help stun recept area everyth clean found bed pillow bit hard like everyon prefer differ
 Great room great breakfast   Hotel billed my credit card twice in error emailed them yesterday to resolve haven t heard back yet ,7.5,1,130,great room great breakfast hotel bill credit card twice error email yesterday resolv heard back yet
 The rooms were very modern an comfortable lady in the desk was very nice an helpful No Negative,7.9,1,96,room modern comfort ladi desk nice help neg
 All good  Friendlier staff in coffee shop,10.0,1,42,good friendlier staff coffe shop
 Great location modern well appointed hotel with friendly helpful staff   Our room had no external view but that was not too disappointing we spent most of our time in the city ,10.0,1,177,great locat modern well appoint hotel friendli help staff room extern view disappoint spent time citi
No Positive  bedroom stuffy new bar loud and brash and breakfast mediocre ,5.8,0,74,posit bedroom stuffi new bar loud brash breakfast mediocr
 The lady on reception was friendly  We were disappointed with the executive suite very small window opened out on to the service yard not at all executive The room service was VERY poor It took three attempts to get the basics of a very simple order any where near correct We ordered a Afternoon Tea which was supposed to consist of a selection of sandwiches and cakes along with cream scones and strawberry preserve we got two scones and cream no preserve no knifes no milk when eventually preserve was brought it was marmalade at which stage we just gave up There was a lot of noise throughout the night people running up and down the corridor and slamming doors ,3.8,0,666,ladi recept friendli disappoint execut suit small window open servic yard execut room servic poor took three attempt get basic simpl order near correct order afternoon tea suppos consist select sandwich cake along cream scone strawberri preserv got two scone cream preserv knife milk eventu preserv brought marmalad stage gave lot nois throughout night peopl run corridor slam door
 I love this hotel   The spa area and restaurant Rooms are lovely too ,9.2,1,70,love hotel spa area restaur room love
 Warm friendly atmosphere as we arrived Helpful staff and excellent location for main centre and Islington itself Rom clean and bed very comfortable   There was not really anything we didn t like ,9.6,1,196,warm friendli atmospher arriv help staff excel locat main centr islington rom clean bed comfort realli anyth like
 Counter staff was friendly and knowledgeable Shuttle service was excellent and restaurant was exceptional in service and menu   I spilt a cup of coffee on my quilt the first night of my stay and the quilt was never changed for the remaining five nights Went without toilet paper for two days and facial tissue box was empty for my entire stay and floor was never vacuumed Very disappointing to sleep on same sheets and quilt for a six night stay and use hand towels for toilet paper and to blow my noise This is understandable for a third world country Not Amsterdam Price for breakfast buffet was extremely high and food choices remained the same with NO variance ,5.8,0,666,counter staff friendli knowledg shuttl servic excel restaur except servic menu spilt cup coffe quilt first night stay quilt never chang remain five night went without toilet paper two day facial tissu box empti entir stay floor never vacuum disappoint sleep sheet quilt six night stay use hand towel toilet paper blow nois understand third world countri amsterdam price breakfast buffet extrem high food choic remain varianc
 Friendly staff helped where they could  No Negative,7.5,1,52,friendli staff help could neg
 Location was fantastic Close to public transportation a few min walk and the surrounding area was magnificent Quiet clean and not in the very center The room was spacious clean and had all the necessities  No Negative,9.6,1,218,locat fantast close public transport min walk surround area magnific quiet clean center room spaciou clean necess neg
 It was spotless the bedding and towels were changed every day and the staff very friendly and helpful   The only thing was you could hear the toilet flushing next door and above us but that was not a big problem ,10.0,1,213,spotless bed towel chang everi day staff friendli help thing could hear toilet flush next door us big problem
 Friendly professional staff Nicely styled Free wi fi   Shower wasn t powerful enough Incomprehensible TV internet At these prices a completely self service buffet breakfast isn t really good enough ,7.9,1,199,friendli profession staff nice style free wi fi shower power enough incomprehens tv internet price complet self servic buffet breakfast realli good enough
 It s is my 5th time in NH City Center and I was very surprised to learn that the hotel was renovated just recently I think the hotel is perfect especially for families thanks to its great location Spui is close to 9 streets just behind Kalverstraat Rokin The Dam Flower market all are 5 10 min walks with kids and Jordaan is 20 min walk with kids What more can you ask Well the street is full with restaurants Luden is just down the stairs and Italian Dante as well Asian restaurant across and at least 5 more place to eat or drink in 100 meter distance Spui street is perfect my favorite street in Amsterdam  No Negative,9.2,1,622,th time nh citi center surpris learn hotel renov recent think hotel perfect especi famili thank great locat spui close street behind kalverstraat rokin dam flower market min walk kid jordaan min walk kid ask well street full restaur luden stair italian dant well asian restaur across least place eat drink meter distanc spui street perfect favorit street amsterdam neg
 Fantastic hotel will definitely go back  Nothing,10.0,1,49,fantast hotel definit go back noth
 Location and service No Negative,8.8,1,33,locat servic neg
 Nice clean room  Road noise,6.3,0,28,nice clean room road nois
 The staff made us feel very welcome upon our arrival and we only had to wait 10minites for our room to be ready The room was lovely and quiet facing the courtyard The facilities in the room were great and we especially liked the big shower  No Negative,10.0,1,253,staff made us feel welcom upon arriv wait minit room readi room love quiet face courtyard facil room great especi like big shower neg
 Breakfast was good and varied  Didn t like the lift card system,7.5,1,64,breakfast good vari like lift card system
 Good quiet hotel good quality good breakfast good pool and spa area variety of restaurants close by   Bit far out after midnight when the tube closed its a pricey taxi ride ,8.8,1,174,good quiet hotel good qualiti good breakfast good pool spa area varieti restaur close bit far midnight tube close pricey taxi ride
 Really calm area it s only a short walk to the metro station and just couple stops before downtown area  No Negative,7.9,1,117,realli calm area short walk metro station coupl stop downtown area neg
 the decor and ambiance it feels like a art gallery the rooms are spacious and swanky  hot dishes at breakfast could do with more variety and better quality the hotel is located 15 min walk from the Navigli canal which is not very close ,9.6,1,237,decor ambianc feel like art galleri room spaciou swanki hot dish breakfast could varieti better qualiti hotel locat min walk navigli canal close
 Very nice room comfy bed great shower friendly staff   There was nothing I disliked about the hotel,8.3,1,100,nice room comfi bed great shower friendli staff noth dislik hotel
 Beautiful interiors  Your staff could be more insightful on recommendations tips and they could generally be more interactive with guests ,8.3,1,139,beauti interior staff could insight recommend tip could gener interact guest
 Location The bathtub was amazing  No Negative,10.0,1,46,locat bathtub amaz neg
 I ve liked the room facilities and staff attitude  the location is about 10 minutes away from the centre,9.2,1,105,like room facil staff attitud locat minut away centr
 Great place and staff No Negative,10.0,1,34,great place staff neg
 High quality clean room Equipped and existing system The quality of breakfast The hotel well located in the city Friendly staff   Significant differences between the ordered and received room a city view room paid but I receiving for a room overlooking the inner courtyard What I paid Air Conditioning Private bathroom City view Free WiFi What I got The city instead of first checking out a few office buildings and metal pipes near the window that s not a good start The hop on hop off bus and or a city view room synonymous with the city view I see this Image inside oom and outside in hotel area ,9.2,1,600,high qualiti clean room equip exist system qualiti breakfast hotel well locat citi friendli staff signific differ order receiv room citi view room paid receiv room overlook inner courtyard paid air condit privat bathroom citi view free wifi got citi instead first check offic build metal pipe near window good start hop hop bu citi view room synonym citi view see imag insid oom outsid hotel area
 The property was within easy access to the train and metro stations   All facilities as offered when booking were not available when we stayed The restaurant was only open for breakfast no other food was available to us The television in one of our rooms did not work I reported this and nothing was done We had rooms with kitchenettes but no facilities for making a drink such as a kettle We were not given our glass of cava on arrival which would of been nice considering our celebrations ,6.7,0,492,properti within easi access train metro station facil offer book avail stay restaur open breakfast food avail us televis one room work report noth done room kitchenett facil make drink kettl given glass cava arriv would nice consid celebr
 Delux king room Lovely bed slept really well Nice choice of breakfast items Great central location for Theatres museums etc  Took a while to get tea and coffee in the morning at breakfast but apart from that not much to complain about ,8.8,1,236,delux king room love bed slept realli well nice choic breakfast item great central locat theatr museum etc took get tea coffe morn breakfast apart much complain
 Location to the M11 and opposite the restaurant La Sala I was attending   Long walk to the bedrooms and as they had external windows the corridors were very cold ,7.9,1,163,locat opposit restaur la sala attend long walk bedroom extern window corridor cold
 The location is convenient for the tube The room was clean on arrival Breakfast was lovely with a good variety We were able to store our luggage at the hotel the day we checked out   The room was small although this was expected in London The shower flooded the bathroom every time it was used although we were able to use towels to stop this it was a small annoyance The ice machine on our level did not work It was advised that there was a menu in the room for room service there was not The room was cold even the heating was cold The second night I ended up using a towel as an extra layer in bed The duvet didn t stretch over the two of us and my partner slept with the sheet as the duvet didn t completely fill the bedding The bed felt cheap but was okay Our main complaint is with dinner We entered the more relaxed bar for dinner and sat down and noticed everyone around us not too busy was receiving table service We waited and waited for someone to take our drink order no one even said hello After waiting 10 minutes my partner went to the bar and ordered our drinks and also requested a menu and advised the staff that we eating Our drinks were brought over to us while we decided what to eat Again we waited and waited and no one came to take our order even though we had been told that they would My partner again got up and tried to order a few moments later the supervisor came and took our order We ordered two pricey steaks I thought after this we would be taken more seriously We were warned of the 35 minute wait on food and this was fine When our food was brought to us I don t think that the waiter could have got away even faster if he tried We were offered no condiments at all My partner again had to get up and ask for salt I had ordered my steak medium rare I know this offends some people but I hate blood in my food This apparently offended the chef as my steak was more Medium Rare No one came to check if everything was okay with our food and by this point we had just given up on the service ,6.3,0,2025,locat conveni tube room clean arriv breakfast love good varieti abl store luggag hotel day check room small although expect london shower flood bathroom everi time use although abl use towel stop small annoy ice machin level work advis menu room room servic room cold even heat cold second night end use towel extra layer bed duvet stretch two us partner slept sheet duvet complet fill bed bed felt cheap okay main complaint dinner enter relax bar dinner sat notic everyon around us busi receiv tabl servic wait wait someon take drink order one even said hello wait minut partner went bar order drink also request menu advis staff eat drink brought us decid eat wait wait one came take order even though told would partner got tri order moment later supervisor came took order order two pricey steak thought would taken serious warn minut wait food fine food brought us think waiter could got away even faster tri offer condiment partner get ask salt order steak medium rare know offend peopl hate blood food appar offend chef steak medium rare one came check everyth okay food point given servic
 helpful stuff good breakfast  paid wifi in rooms just add it to the room price and let me forget about asking how to connect and payment process,8.3,1,145,help stuff good breakfast paid wifi room add room price let forget ask connect payment process
 Room was clean and quiet  The staff was just unpleasant The stairs 3 floors with no help from the staff This place is far from any tube station ,4.6,0,145,room clean quiet staff unpleas stair floor help staff place far tube station
 Exceptional as always highly recommend No Negative,9.6,1,51,except alway highli recommend neg
 Staff were very efficient and friendly No Negative,8.8,1,51,staff effici friendli neg
 Very helpful and charming reception staff Great location Good to fair value Will come back   Thought breakfast included whereas cost 108 3 night stay ,8.3,1,151,help charm recept staff great locat good fair valu come back thought breakfast includ wherea cost night stay
 Excellent service comfortable room lovely breakfast nothing too much trouble  We arrived 2 hours before our check in I had told the hotel this Polite staff BUT I think it would have been really nice if we had been offered a drink whilst we waited for our room on the house This is the case in top US hotels ,10.0,1,308,excel servic comfort room love breakfast noth much troubl arriv hour check told hotel polit staff think would realli nice offer drink whilst wait room hous case top us hotel
 Room was very clean and large Hotel staff were so friendly This hotel has easy access to other sites There is a tram station in front of hotel   Because this hotel is located in Rambrandt square Rambrandtplein lt had a liitle noisy at night ,7.5,1,242,room clean larg hotel staff friendli hotel easi access site tram station front hotel hotel locat rambrandt squar rambrandtplein lt liitl noisi night
 Lovely terrace Freindly staff Very tranquil in such a central location   It would have been nice to have more hot coffee at breakfast the room safe and hairdryer did not work but i am sure they would have fixed these things had i been bothered i had no complaints really it was lovely ,8.8,1,286,love terrac freindli staff tranquil central locat would nice hot coffe breakfast room safe hairdryer work sure would fix thing bother complaint realli love
 great staff gluten free food available good wi fi No Negative,9.2,1,62,great staff gluten free food avail good wi fi neg
 Location  Nothing,10.0,1,18,locat noth
No Positive  We booked a triple room and paid a premium price expecting it to be large but all we got was a regular double with a small portable bed No space at all ,6.3,0,165,posit book tripl room paid premium price expect larg got regular doubl small portabl bed space
 Absolutely nothing   It would be hard to say what we didn t like in only 2 3 sentences This hotel is definitely not a 3 and a half to 4 star as listed Awful ,2.9,0,158,absolut noth would hard say like sentenc hotel definit half star list aw
 I traveled with my Little daughter 3 yo and we Had a Bad experience with another Hotel and Switched to this one I Wished we Stayed longer there was fantastic Next Time I am in Barcelona ill definitly will stay there Airport Bus is also Directly leaving Infront of the Hotel Even It is at a big and Loud place thanks to the good windows we slept deep and Long  No Negative,10.0,1,372,travel littl daughter yo bad experi anoth hotel switch one wish stay longer fantast next time barcelona ill definitli stay airport bu also directli leav infront hotel even big loud place thank good window slept deep long neg
 Within walking distance to the Sagrada Familia and was in a good location to shops and restaurants Had free snacks starting at 2 00 pm daily Their front desk staff was excellent   Have to be careful walking out their front door They have a narrow sidewalk that pedestrians and bikers use Almost got hit by a bicyclist stepping out their front door ,10.0,1,349,within walk distanc sagrada familia good locat shop restaur free snack start pm daili front desk staff excel care walk front door narrow sidewalk pedestrian biker use almost got hit bicyclist step front door
 could not fault a thing excellent stay No Negative,10.0,1,51,could fault thing excel stay neg
 The hitel furnishings and atmosphere No Negative,10.0,1,49,hitel furnish atmospher neg
 Excellent facilities  No Negative,10.0,1,34,excel facil neg
 Friendly staff The bar restaurant area is lovely and overlooks the park Very modern   Extensive restorations works going on We had scaffolding outside our window blocking the view Temporary reception area The building is an old hospital you can still see the hospital aspects on the inside When the work is completed i m sure it will be fabulous No fridge in the room well there was one but it was very ineffective ,7.1,1,416,friendli staff bar restaur area love overlook park modern extens restor work go scaffold outsid window block view temporari recept area build old hospit still see hospit aspect insid work complet sure fabul fridg room well one ineffect
 Bedroom was lovely bathroom was gorgeous perfect for partners not one bad thing to say  N A,10.0,1,92,bedroom love bathroom gorgeou perfect partner one bad thing say n
 Very friendly helpful and professional staff  This hotel property is located in a suburb of Milan about a 30 minute trolley car ride to the city center For the d cor location and services provided I thought it was a bit pricey If I was rating it by German hotel standards I would put it somewhere between standard and first class that is about 3 5 stars ,6.7,0,355,friendli help profession staff hotel properti locat suburb milan minut trolley car ride citi center cor locat servic provid thought bit pricey rate german hotel standard would put somewher standard first class star
 Everything  Nothing,10.0,1,20,everyth noth
 Ambiance staff position and view  Paying for wifi this should be included ,9.2,1,75,ambianc staff posit view pay wifi includ
 Hotel and staff were excellent couldn t do enough for us   The only let down was the breakfast on Arriveing at the dining room at 9am the breakfast was all over cooked stood standing 5 mins before somebody came a threw a load of over cooked greasy bacon in the tray had to asked for our tea twice sorry it was let down ,10.0,1,320,hotel staff excel enough us let breakfast arriv dine room breakfast cook stood stand min somebodi came threw load cook greasi bacon tray ask tea twice sorri let
 Quiet for London clean and comfortable value for money  To far out of London long walk to tube,7.1,1,95,quiet london clean comfort valu money far london long walk tube
 Location and all that goes along with a night in London No Negative,10.0,1,68,locat goe along night london neg
 Very clean And the spare chargers in the hotel room Excellent touch and a life saver   Nothing,10.0,1,95,clean spare charger hotel room excel touch life saver noth
 Staff in general were more than cooperative and were always smiling And I must state that after the complete refurbishment the Hotel has become one of the Best in London with no doubt   In principle I should admit this trip in particular we had no problems what so ever ,7.9,1,271,staff gener cooper alway smile must state complet refurbish hotel becom one best london doubt principl admit trip particular problem ever
 The hotel was situated very close to the beach which was lovely A 10 15 minute walk away from the metro station which connects you to the rest of the city Very clean place The room had everything it should have  No Negative,7.9,1,224,hotel situat close beach love minut walk away metro station connect rest citi clean place room everyth neg
 Excellent location No Negative,7.1,1,31,excel locat neg
 Helpful staff No Negative,5.0,0,26,help staff neg
 I like the location is very good also the value for money is excellent The room size is huge  The bed matrix The btrakfast is not rich no facilities,8.3,1,149,like locat good also valu money excel room size huge bed matrix btrakfast rich facil
 Good location near Victoria station Room was clean Happy that our belongings were able to be secured in the in room safe Staff was friendly   Pricy After reading super high reviews expected to be blown away Lobby was spectacular but room was a little musty dated ,7.5,1,264,good locat near victoria station room clean happi belong abl secur room safe staff friendli prici read super high review expect blown away lobbi spectacular room littl musti date
 the price No Negative,7.1,1,22,price neg
 Lovely helpful staff throughout breakfast fantastic clean comfortable rooms  No Negative,10.0,1,89,love help staff throughout breakfast fantast clean comfort room neg
 Amazing staff beautiful hotel gorgeous room Fab central location but totally quiet and restful too Very comfy bed   Nothing ,10.0,1,125,amaz staff beauti hotel gorgeou room fab central locat total quiet rest comfi bed noth
 How helpful the girl at reception was when we checked in The style and cleanlyness of the hotel The breakfast was very nice  Our bed was 2 beds pushed together,9.6,1,160,help girl recept check style cleanly hotel breakfast nice bed bed push togeth
 Room was spacious comfortable with all necessary amenities Breakfast was lovely all items included were very good and fresh some items could also be made to order Location couldn t be better very central but quiet Staff were mostly very helpful and polite   The AC did not cool our room enough We were told the technician would take a look only to be later told it should work Luckily it was cool outside and we opened the windows Internet included in room rate is rather slow Room was cleaned well but cleaning of floor especially under the bed did not seem to be done well Housekeeping also came to make up room rather late in the day ,8.3,1,638,room spaciou comfort necessari amen breakfast love item includ good fresh item could also made order locat better central quiet staff mostli help polit ac cool room enough told technician would take look later told work luckili cool outsid open window internet includ room rate rather slow room clean well clean floor especi bed seem done well housekeep also came make room rather late day
 Nice staff  Room a bit cold when coming back from the city ,6.7,0,60,nice staff room bit cold come back citi
 Extra good shower No Negative,9.2,1,30,extra good shower neg
 Good location next to bus and metro stations 20 min walk from Pla a de Catalunya Good breakfast Daily cleaning Comfortable and clean room Friendly staff Good value for money No Negative,10.0,1,186,good locat next bu metro station min walk pla de catalunya good breakfast daili clean comfort clean room friendli staff good valu money neg
 I can honestly say the best hotel we have stay at from the door man with his big friendly smile to the managers Lovely comfy bed great breakfast and a beautiful rooftop bar for lovely tapas and a cold glass of cava  No Negative,10.0,1,228,honestli say best hotel stay door man big friendli smile manag love comfi bed great breakfast beauti rooftop bar love tapa cold glass cava neg
 Almost everything Out of the hundreds of hotels I have stayed in it is right up with the best   Maybe English language newspapers Also the travel tickets and combinations could be better explained although this is not really the hotels job it would help as Vienna has GREAT transport but needs mastering ,9.6,1,305,almost everyth hundr hotel stay right best mayb english languag newspap also travel ticket combin could better explain although realli hotel job would help vienna great transport need master
 Large room and very good wifi  Breackfast had a low quality,7.5,1,60,larg room good wifi breackfast low qualiti
 Location is only a 10 15 min walk away from champs elysees and many other major tourist attractions The hotel is tucked away in a quiet street The customer service is exceptional from all staff at this hotel  Rooms are small Ideal for no more than 2 ppl Having a baby in the room makes it quite tight for space ,8.8,1,312,locat min walk away champ elyse mani major tourist attract hotel tuck away quiet street custom servic except staff hotel room small ideal ppl babi room make quit tight space
 Location  Smoking smile every where except the lobby ,7.5,1,54,locat smoke smile everi except lobbi
 The staff were lovely and helpful the rooms were spacious and breakfast was very good The location was also fantastic  There was construction next door which resulted in very early drilling 6am and loud banging This was no fault of the hotel but was very disruptive in the morning and prevented a sleep in Otherwise no complaints,9.6,1,330,staff love help room spaciou breakfast good locat also fantast construct next door result earli drill loud bang fault hotel disrupt morn prevent sleep otherwis complaint
 Staff were very helpful The prestige double room was a good size Location was great Ambience was nice  Cold scrambled eggs for breakfast nothing kept warm ,7.9,1,156,staff help prestig doubl room good size locat great ambienc nice cold scrambl egg breakfast noth kept warm
 Excellent helpful staff and superb evening meal  The bath in the room was terrible There was no way you could relax in it even my wife who is 5ft 7in found it uncomfortable,8.3,1,173,excel help staff superb even meal bath room terribl way could relax even wife ft found uncomfort
 People at the reception were really friendly and welcoming Gave good tips for dinner and propose immediately their help for booking  No Negative,10.0,1,145,peopl recept realli friendli welcom gave good tip dinner propos immedi help book neg
 Very clean and comfortable  Room very small,8.3,1,44,clean comfort room small
 Really nice and comfortable with nice views  Lifts are very small and long queue for breakfast,9.2,1,95,realli nice comfort nice view lift small long queue breakfast
 The room was good size and bathroom was very modern Good cocktail bar on 10th floor   Service was average the girl on reception when we arrived was immature and unprofessional ,6.3,0,177,room good size bathroom modern good cocktail bar th floor servic averag girl recept arriv immatur unprofession
 Clean Near my office Includes breskfast Got to know the staff and after awhile we become familiar and it was good The bacon was excellent but when they switch between sausage it was per week They should switch more frequently  I have to stay for several weeks The same breakfast Everyday is challenging The fake eggs are terrible,8.3,1,330,clean near offic includ breskfast got know staff awhil becom familiar good bacon excel switch sausag per week switch frequent stay sever week breakfast everyday challeng fake egg terribl
 It s a lovely place to stay in Friendly staff  No Negative,9.6,1,59,love place stay friendli staff neg
 The whole experience was great No Negative,10.0,1,43,whole experi great neg
 Friendliness of staff I took my goddaughter and they arranged a lovely basket of goodies for the room The room was spacious and the bathroom was lovely  No Negative,9.6,1,165,friendli staff took goddaught arrang love basket goodi room room spaciou bathroom love neg
No Positive  everything very good,10.0,1,33,posit everyth good
 The room has everything you need for a short break supplied for you   Had to go home again ,10.0,1,92,room everyth need short break suppli go home
 I love this hotel always stay here every time I come to London   none,9.2,1,70,love hotel alway stay everi time come london none
 I loved how comfortable the hotel was The amenities were a lovely extra   The tablet was confusing Working the television was a nightmare,10.0,1,138,love comfort hotel amen love extra tablet confus work televis nightmar
 Excellent hospitality staff amazing  No Negative,10.0,1,49,excel hospit staff amaz neg
 breakfast was really good we had great time in the pool  No Negative,9.2,1,69,breakfast realli good great time pool neg
